comname,season,n,slope_y,slope_p_y,slope_x,slope_p_x,slope_depth,slope_p_depth
acadian redfish,SPRING,52,-69.0623309465862,0.808826486177203,-1376.65732176819,0.0129401092303312,-0.160898488346213,0.247507251884203
acadian redfish,FALL,53,-615.75952274741,0.00187661881928093,-2200.46712139744,1.62208108191551e-05,0.239521854256884,0.0548180069541349
african pompano,FALL,26,1658.53686666959,0.645099188220053,3752.90302781206,0.0375992747643399,-0.101911460461698,0.916027471103489
alewife,SPRING,52,5407.09861789058,6.04585797579266e-14,3707.51053610792,4.197902916159e-08,0.813539552179854,0.000886282216874964
alewife,FALL,53,473.877353440656,0.398598083267554,-1760.45051543991,0.000610974631890419,0.0238812798381293,0.908772332673538
american lobster,SPRING,52,8013.6596282452,9.83549713294052e-31,3567.5575566176,3.62360496937249e-12,-2.1126893488397,3.50108505446052e-06
american lobster,FALL,53,6545.9128941629,3.6148215246561e-22,2445.87858101196,5.19949999733683e-08,-1.17455316136584,0.000130287448990675
american plaice,SPRING,52,-91.5584899074781,0.515138211896771,-2454.42875238189,1.34726175341349e-10,-0.166479766611152,0.180923407471608
american plaice,FALL,53,25.2140276084188,0.858202458507997,-1684.1431448871,3.3603282672167e-06,0.230160805751827,0.0970020849563561
american shad,SPRING,52,5585.19391456405,1.58641447871112e-07,4514.44802913118,2.33764679313532e-05,0.825232960552377,0.0156958820456062
american shad,FALL,53,2594.99781655526,0.000560176984543371,242.310791263534,0.672850751910118,0.248632939166967,0.20716646563647
armored searobin,SPRING,47,-1397.86668908043,0.29641488499354,-170.354506317224,0.884193337623971,0.654799180944893,0.0599020171450744
armored searobin,FALL,50,1202.29485682948,0.401120044859004,1014.92095494349,0.410976843867476,-0.259399680820886,0.566539812112349
atlantic angel shark,SPRING,50,250.913114209163,0.603994994916879,313.402406150808,0.242598042288044,0.769979562524015,0.0709816700517312
atlantic angel shark,FALL,52,143.657724344244,0.80030689981864,191.132121100949,0.167316534141799,0.291949602207231,0.00339171614870353
atlantic argentine,SPRING,50,-1638.23258231612,0.247571344466591,-2303.86193230408,0.0773479286337008,-1.14584214118804,0.0651886167606259
atlantic argentine,FALL,49,-1492.30362361099,0.430223492868447,-2682.44749163682,0.126405232049478,-0.159403428828943,0.605475941057835
atlantic batfish,SPRING,11,5133.76841849884,0.243656908208993,4764.24337765198,0.149841511899279,-0.927478947064189,0.64545672663701
atlantic batfish,FALL,15,103.861521976934,0.979736887302128,-207.306193983134,0.962873791254969,1.63381709574291,0.31710145098827
atlantic bonito,FALL,20,2793.52658295119,0.454137815259388,1871.33222239992,0.538502128318099,0.161471167127944,0.469618666630107
atlantic brief squid,SPRING,18,-2469.05870803489,0.696907739416462,-2851.69958407104,0.55851568144338,0.0161647923792608,0.98618812793693
atlantic brief squid,FALL,28,3789.36892213594,0.351500807908346,3940.71025656395,0.211494369759449,0.0981645623713125,0.895301507557879
atlantic bumper,FALL,22,5517.56803614427,0.00628790937555013,7308.86694307608,0.000855235506607719,0.211086820809137,0.0780761748745773
atlantic calico scallop,FALL,11,2507.12401693276,0.0814558593434403,1185.66415352703,0.155628555426774,0.198069419324814,0.718711694733836
atlantic cod,SPRING,52,268.057502134189,0.0971693050842972,-1812.46369871433,0.000322033087602527,-0.28913943856543,0.0553963139320767
atlantic cod,FALL,53,-165.222606987588,0.357122158321755,-1577.24058265252,0.000260675776277753,-0.325303836891649,0.00855199381868046
atlantic croaker,SPRING,42,2072.05379987558,0.0212883174326072,2372.89457857776,0.000414231075807878,0.491946718238537,5.01338327072589e-06
atlantic croaker,FALL,51,3813.33787647857,4.26268313368775e-06,1330.4627233636,0.000140746694159135,0.0551316336619472,0.339060571768034
atlantic cutlassfish,SPRING,33,1450.76357081145,0.229249631233706,2086.07614393301,0.0161436966177987,1.65044446273918,0.075138520264755
atlantic cutlassfish,FALL,44,2552.60513003652,0.0448994225003959,2705.7186061734,0.00377492449963018,0.143138296473689,0.614805423936529
atlantic hagfish,SPRING,51,5276.35223242618,2.94692695744258e-05,3330.89784022538,0.000425581856296776,-1.27422785490817,0.00569868313254098
atlantic hagfish,FALL,53,-664.193146818752,0.562468412792414,-631.287677752621,0.461510767510247,0.212287413099055,0.494897924591721
atlantic herring,SPRING,52,475.466428748184,0.480369415056368,268.745815178809,0.740959406514712,0.25093671119493,0.0346588217763183
atlantic herring,FALL,53,373.419100401604,0.361876289183173,-396.83152811148,0.448666917841067,0.275947069959336,0.286528832548882
atlantic mackerel,SPRING,52,5016.56189544829,3.21075408518121e-06,3767.75219794561,0.00151868671691172,-0.567524115501384,0.0209173344026009
atlantic mackerel,FALL,53,2252.20407291635,0.00582447273774188,184.576753088662,0.857796534933457,-0.396987846425996,0.0712896818820489
atlantic menhaden,SPRING,46,1760.52073984579,0.413863757183051,768.504462600405,0.564256259577911,-0.478298561551818,0.129314940832561
atlantic menhaden,FALL,47,7598.38637352969,4.09882369109233e-07,4237.43265522081,9.84216690811011e-05,0.202109311057155,0.0248448863979939
atlantic moonfish,FALL,47,6879.34343089808,0.000617697907159776,5025.39205605572,0.00184293513908659,0.00583149141036021,0.989494842857285
atlantic rock crab,SPRING,50,4545.89290188934,3.66371350636285e-06,5850.4595777941,5.56149468895366e-09,-0.292030582699568,0.269997491400362
atlantic rock crab,FALL,50,1682.62095967534,0.0939401213602031,3361.71872410726,0.00291587415938444,-0.132704404506581,0.774673728139842
atlantic seasnail,SPRING,38,-4075.36212293539,0.0185006561081497,-6836.29298053705,0.0108082086552765,-1.98000380290729,0.000252162175320122
atlantic seasnail,FALL,31,-5185.21938545665,0.0574236334665139,-6336.55716232452,0.0215057803796566,-1.58566454308044,0.000435766699803442
atlantic sharpnose shark,SPRING,21,3075.99752230668,4.38692152487431e-05,3343.85448511755,2.46402671063235e-05,0.0601608689530099,0.869489109197268
atlantic sharpnose shark,FALL,40,-290.28288808996,0.754042882610859,1351.07944359198,0.00603923048448872,0.335385412782262,0.0040437317038714
atlantic silverside,SPRING,49,3526.60882198688,0.00810571600878645,2446.03342445085,0.0282371555860237,-0.0504824328350079,0.60454061182616
atlantic silverside,FALL,17,-490.86075366914,0.92773001227963,-1563.38363011193,0.780144546382041,-0.688982213438786,0.526791900996238
atlantic soft pout,SPRING,48,106.905321102009,0.875934296237427,487.688400032764,0.598930060472241,0.422874902629928,0.19519120351569
atlantic soft pout,FALL,43,-462.606603931881,0.598860939501597,410.111443321628,0.604845329387519,0.498189749869055,0.226896844810579
atlantic spadefish,SPRING,19,1938.28653202246,0.0121452555800714,3202.35601527079,0.00454239220124011,0.637557358947614,0.00886618947121712
atlantic spadefish,FALL,37,3177.35764046013,0.0426597206613485,3464.26346263426,0.00202218493988648,0.237338362193519,0.000338217232473484
atlantic sturgeon,SPRING,36,720.251107266956,0.694354693165618,39.0851242946937,0.951880706939309,0.164707802413259,0.00882376710155951
atlantic sturgeon,FALL,16,6787.67801335554,0.00196827040963381,3641.64120722891,0.0766635780579424,0.170223833543506,0.114267092294744
atlantic surfclam,SPRING,14,-437.465137254904,0.858962534130119,-2461.88164204864,0.553724198567422,-0.19111135940584,0.488935340378669
atlantic surfclam,FALL,11,3455.39076768825,0.578046352788282,5381.44075041329,0.478275832842856,0.331998432138215,0.416101676064458
atlantic thread herring,FALL,45,6463.83948917505,1.26782517077405e-05,4337.62114268025,4.21906120180121e-05,0.287483815931975,1.67158978382704e-11
