comname,season,n,slope_y,slope_p_y,slope_x,slope_p_x,slope_depth,slope_p_depth
armored searobin,SPRING,47,-1397.86668908043,0.29641488499354,-170.354506317224,0.884193337623971,0.654799180944893,0.0599020171450744
armored searobin,FALL,50,1202.29485682948,0.401120044859004,1014.92095494349,0.410976843867476,-0.259399680820886,0.566539812112349
atlantic angel shark,SPRING,50,250.913114209163,0.603994994916879,313.402406150808,0.242598042288044,0.769979562524015,0.0709816700517312
atlantic angel shark,FALL,52,143.657724344244,0.80030689981864,191.132121100949,0.167316534141799,0.291949602207231,0.00339171614870353
atlantic croaker,SPRING,42,2072.05379987558,0.0212883174326072,2372.89457857776,0.000414231075807878,0.491946718238537,5.01338327072589e-06
atlantic croaker,FALL,51,3813.33787647857,4.26268313368775e-06,1330.4627233636,0.000140746694159135,0.0551316336619472,0.339060571768034
atlantic mackerel,SPRING,52,5016.56189544829,3.21075408518121e-06,3767.75219794561,0.00151868671691172,-0.567524115501384,0.0209173344026009
atlantic mackerel,FALL,53,2252.20407291635,0.00582447273774188,184.576753088662,0.857796534933457,-0.396987846425996,0.0712896818820489
atlantic menhaden,SPRING,46,1760.52073984579,0.413863757183051,768.504462600405,0.564256259577911,-0.478298561551818,0.129314940832561
atlantic menhaden,FALL,47,7598.38637352969,4.09882369109233e-07,4237.43265522081,9.84216690811011e-05,0.202109311057155,0.0248448863979939
atlantic moonfish,FALL,47,6879.34343089808,0.000617697907159776,5025.39205605572,0.00184293513908659,0.00583149141036021,0.989494842857285
atlantic rock crab,SPRING,50,4545.89290188934,3.66371350636285e-06,5850.4595777941,5.56149468895366e-09,-0.292030582699568,0.269997491400362
atlantic rock crab,FALL,50,1682.62095967534,0.0939401213602031,3361.71872410726,0.00291587415938444,-0.132704404506581,0.774673728139842
atlantic silverside,SPRING,49,3526.60882198688,0.00810571600878645,2446.03342445085,0.0282371555860237,-0.0504824328350079,0.60454061182616
atlantic silverside,FALL,17,-490.86075366914,0.92773001227963,-1563.38363011193,0.780144546382041,-0.688982213438786,0.526791900996238
bay anchovy,SPRING,45,329.723042374691,0.771400864379371,425.792917257248,0.408775387329709,0.164260515387096,0.00494517707499209
bay anchovy,FALL,48,2107.87425930089,0.186215332086846,1569.69251539149,0.226516570978739,0.155299424118022,0.026247662322558
beardfish,SPRING,43,-91.8708137077755,0.95668400336469,868.62954687529,0.582184923370632,-0.0432413588242086,0.93123237900861
beardfish,FALL,40,2053.22122680348,0.342434160964365,3126.76349985647,0.108152722212748,0.346830599578533,0.580706041610791
black sea bass,SPRING,52,6519.26050313905,8.67723648314222e-15,3852.94065435047,1.33760126607715e-12,-0.134868913517808,0.558333055430377
black sea bass,FALL,53,6668.04664767626,3.19795283243488e-07,3689.80867917878,8.65490163840331e-05,-0.0512334866754109,0.43506832464038
blackbelly rosefish,SPRING,52,4364.58028677586,4.20340834063747e-05,4941.31095230604,1.76769470160515e-05,-0.332251941845616,0.108443672279612
blackbelly rosefish,FALL,53,4311.0515753703,1.03836868116745e-05,5371.77951277528,2.98916764190337e-06,0.328094263169325,0.19249202729361
blue crab,SPRING,24,3769.71002570222,0.211031250775149,2138.32139973371,0.070070256759396,0.354026019690577,0.000630572975652717
blue crab,FALL,44,109.867145685966,0.920845138322783,-418.425693551551,0.337220971720959,0.175009889016726,3.90264429499825e-05
blue runner,FALL,48,896.968755221161,0.526107188721364,1163.5853944478,0.249383876535861,-0.497550303755028,0.392385975555823
blueback herring,SPRING,52,4528.20875872371,0.000865618479145739,3865.0550872145,0.000178135186358473,0.567852235527394,0.00297373993005202
blueback herring,FALL,52,6468.09618201299,0.00251872561709697,2488.11502943272,0.100085285279844,-0.217919262038122,0.388076993813128
bluefish,SPRING,45,2630.46425408476,0.00418173217280953,2647.88738519424,0.000111185578462417,1.53418981104362,0.00563063894743067
bluefish,FALL,52,4015.02584045676,0.00180924548752923,1757.42372827898,0.0805504845188071,0.0183545612635717,0.810494994756146
bluntnose stingray,SPRING,29,1453.78606686912,0.0193696894124454,2002.87607983366,0.00201974711156554,-0.0585192829911782,0.838710689007318
bluntnose stingray,FALL,49,3140.87544699561,0.000321437263394393,1688.71708620392,0.00264634811580032,0.141613373755899,0.00183394612229912
buckler dory,SPRING,46,4389.51691746077,0.00429708864553113,4033.53982575968,0.00821356117876435,0.399382657142134,0.235893019031366
buckler dory,FALL,51,2928.5950966884,0.00285181212989816,3048.45960976094,0.00172204263756003,0.404331638837049,0.158802479855977
bullnose ray,SPRING,31,2319.94773645748,0.0117188441163019,2805.2521693395,0.0154851462694446,0.469060916468105,0.0104829941149293
bullnose ray,FALL,48,4105.18665173103,2.45018063635132e-05,2096.86218622865,0.00380520311827861,0.12089651772581,0.00474522999723018
butterfish,SPRING,52,2450.19530248574,0.0376059512687994,2291.54575205082,0.0250268724238508,0.211575768423529,0.502576778631048
butterfish,FALL,53,2906.97822326474,0.00391057279276181,2501.64100092502,0.000740451182619778,0.0513712269084579,0.820252351157586
chain dogfish,SPRING,52,1305.94957785336,0.122913719743698,1120.74009157986,0.0620846415006355,0.355681697486056,0.400547132748967
chain dogfish,FALL,50,1418.18445310319,0.179187084772644,1485.99114349978,0.12899672298077,-0.079998515534582,0.807121068542847
clearnose skate,SPRING,48,-255.85289622042,0.780846690200232,-511.160234294487,0.412908915428837,-0.140730104106953,0.589003027214848
clearnose skate,FALL,52,3031.11790919214,3.86773582059597e-07,1209.44446450344,0.000268831392406524,-0.131922210591618,0.322786018838144
coarsehand lady crab,SPRING,34,3534.16277264148,0.00689766407477065,814.202851023599,0.129814445287423,-0.481007872137881,0.0753850248270874
coarsehand lady crab,FALL,44,-959.64635264536,0.203689443731318,67.9112968802356,0.856563388862834,-0.103666598043781,0.600739971224709
conger eel,SPRING,41,-1535.84373162159,0.305455942502943,-828.94853086372,0.545382865808238,1.4336189002548,0.00365491440130918
conger eel,FALL,47,2563.47855919757,0.0507894039250254,1710.60825969442,0.156579670399185,0.379772088284787,0.388687855866447
cownose ray,FALL,40,2999.88075662015,0.00329376119039061,1091.25267243221,0.0103529205850282,0.150146809158116,0.0318698976195959
fawn cusk-eel,SPRING,52,796.883673840304,0.190944811775169,1215.84550389529,0.112954403690537,0.00476388299163084,0.986253440326017
