Species,Scientific name,Family,Habitat,Species historical range  ,Ecoregion,SVSPP
Spiny dogfish,Squalus acanthias,Squalidae,D,Greenland to Argentina  ,S,15
Little skate,Leucoraga erinacea,Rajidae,D,Newfoundland to North Carolina ,S,26
Thorny skate,Amblyraja radiata,Rajidae,D,Greenland to New York ,N,28
Winter skate,Leucoraja ocellata,Rajidae,D,Newfoundland to North Carolina ,S,23
Alewife ,Alosa pseudoharengus,Clupeidae,P,Labrador to South Carolina ,S,33
American shad,Alosa sapidissima,Clupeidae,P,Labrador to Florida  ,S,35
Atlantic herring,Clupea harengus,Clupeidae,P,Greenland to South Carolina ,S,32
Atlantic cod,Gadus morhua,Gadidae,D,Greenland to North Carolina ,N & S,73
Haddock ,Melanogrammus aeglefinus,Gadidae,D,New Jersey to Newfoundland ,N & S,74
Pollock ,Pollachius virens,Gadidae,P,Greenland to North Carolina ,N,75
Silver hake,Merluccius bilinearis,Gadidae,P,Newfoundland to South Carolina ,N & S,72
Red hake,Urophycis chuss,Merlucidae,D,Newfoundland to North Carolina ,N & S,77
Spotted hake,Urophycis regia,Merlucidae,D,Maine to Gulf of Mexico,S,78
White hake,Urophycis tenuis,Merlucidae,D,Newfoundland to North Carolina ,N,76
Cusk ,Brosme brosme,Lotidae,D,Newfoundland to New Jersey ,N,84
Goosefish ,Lophius americanus,Lophiidae,D,Newfoundland to North Carolina ,S,197
American plaice,Hippoglossoides platessoides,Pleuronectidae,D,Labrador to Rhode Island ,N,102
Atlantic halibut,Hippoglossus hippoglossus,Pleuronectidae,D,Labrador to Virginia  ,N,101
Yellowtail flounder,Limanda ferruginea,Pleuronectidae,D,Labrador to Virginia  ,N & S,105
Winter flounder,Pseudopleuronectes americanus,Pleuronectidae,D,Labrador to Virginia  ,N & S,106
Fourspot flounder,Paralichthys oblongus,Paralichthyidae,D,George’s Bank to Florida ,S,104
Summer flounder,Paralichthys dentatus,Paralichthyidae,D,Massachusetts to South Carolina ,S,103
Windowpane flounder,Scophthalmus aquosus,Scophthalmidae,D,Newfoundland to Florida  ,S,108
Atlantic mackerel,Scomber scombrus,Scombridae,P,Labrador to North Carolina ,S,121
Ocean pout,Zoarces americanus,Zoarcidae,D,Labrador to Delaware  ,S,193
Atlantic wolffish,Anarhichas lupus,Anarhichadidae,D,Greenland to New Jersey ,N,192
Blackbelly rosefish,Helicolenus dactylopterus,Scorpaenidae,D,Nova Scotia to Venezuela ,S,156
Longhorn sculpin,Myoxocephalus octodecemspinosus,Cottidae,D,Newfoundland to Virginia  ,S,163
Sea raven,Hemitripterus americanus,Hemitripteridae,D,Labrador to Virginia  ,S,164
Acadian redfish,Sebastes fasciatus,Sebastidae,D,Massachusetts to Newfoundland  ,N,155
